simulation_id,final_value
830,1680.0
831,1988.0
832,2266.42
833,1872.0
834,1938.9375
835,1872.0
836,1872.0
837,1774.65
838,2054.5
839,2266.42
840,2266.42
841,1872.0
842,1872.0
843,2131.83
844,1819.0
845,1938.9375
846,1680.0
847,1872.0
848,2266.42
849,2054.5
850,2054.5
851,1774.65
852,1872.0
853,1872.0
854,2131.83
855,1872.0
856,1872.0
857,1872.0
858,1872.0
859,1680.0
860,1774.65
861,2131.83
862,1872.0
863,1774.65
864,1872.0
865,2266.42
866,1774.65
867,2131.83
868,2131.83
869,1988.0
870,2054.5
871,1872.0
872,1872.0
873,1680.0
874,2131.83
875,2266.42
876,1872.0
877,2054.5
878,1872.0
879,2054.5
880,1774.65
881,1774.65
882,2131.83
883,1872.0
884,1872.0
885,2266.42
886,1872.0
887,2054.5
888,1680.0
889,2266.42
890,1938.9375
891,1680.0
892,1680.0
893,2266.42
894,1938.9375
895,2266.42
896,2266.42
897,1872.0
898,2131.83
899,1774.65
900,1872.0
901,1872.0
902,2054.5
903,2131.83
904,2131.83
905,1872.0
906,1872.0
907,1938.9375
908,1872.0
909,1872.0
910,1988.0
911,1872.0
912,1774.65
913,1988.0
914,2131.83
915,1680.0
916,2054.5
917,1680.0
918,1680.0
919,1872.0
920,1872.0
921,1872.0
922,2054.5
923,1680.0
924,2266.42
925,2266.42
926,2266.42
927,1872.0
928,1774.65
929,2131.83
930,1774.65
931,1774.65
932,1872.0
933,2266.42
934,2266.42
935,2266.42
936,1774.65
937,1872.0
938,1872.0
939,2131.83
940,2054.5
941,1872.0
942,1774.65
943,2266.42
944,1988.0
945,2131.83
946,2266.42
947,1774.65
948,1872.0
949,1872.0
950,2131.83
951,1872.0
952,2131.83
953,1872.0
954,1872.0
955,1872.0
956,1872.0
957,2054.5
958,2266.42
959,1872.0
960,1872.0
961,1938.9375
962,2054.5
963,2054.5
964,1774.65
965,1872.0
966,1774.65
967,2054.5
968,1872.0
969,1988.0
970,1988.0
971,1872.0
972,1774.65
973,1938.9375
974,1819.0
975,1774.65
976,1872.0
977,1774.65
978,1938.9375
979,1872.0
980,1872.0
981,2266.42
982,2266.42
983,1774.65
984,1872.0
985,2054.5
986,1872.0
987,2131.83
988,1938.9375
989,1774.65
990,2266.42
991,2266.42
992,1872.0
993,1872.0
994,2266.42
995,1872.0
996,1872.0
997,1872.0
